title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear
Archduchess_Maria_Elisabeth_of_Austria_(1743–1808),,Linz,Vienna,,1743,1808
Archduchess_Maria_Henrietta_of_Austria,,Austria,Bratislava,1,1883,1956
Archduchess_Maria_Immakulata_of_Austria,Duchess Robert of Württemberg,Altshausen,Lower Austria,1,1878,1968
Archduchess_Maria_Isabella_of_Austria,Countess ofTrapani,Lucerne,Grand Duchy of Tuscany,1,1834,1901
Archduchess_Maria_Johanna_Gabriela_of_Austria,Archduchess of Austria,Hofburg Palace,Hofburg Palace,,1750,1762
Archduchess_Maria_Josepha_of_Austria,,Schönbrunn Palace,Hofburg Palace,,1751,1767
Archduchess_Maria_Leopoldine_of_Austria-Este,Electress of Bavaria,,Duchy of Milan,1,1776,1848
"Archduchess_Maria_Luisa_of_Austria,_Princess_of_Tuscany",Princess of Isenburg and Büdingen,,Grand Duchy of Tuscany,1,1845,1917
Archduchess_Maria_Theresa_of_Austria-Este_(1817–1886),Comtesse de Chambord,Gorizia,Duchy of Modena and Reggio,1,1817,1886
Archduchess_Maria_Theresa_of_Austria_(1684–1696),Archduchess of Austria,Palais_Ebersdorf,Hofburg Palace,,1684,1696
Archduchess_Maria_Theresa_of_Austria_(1762–1770),,Schönbrunn Palace,Schönbrunn Palace,,1762,1770
Archduchess_Maria_Theresa_of_Austria_(1845–1927),Duchess of Württemberg,Weimar Republic,Austrian Empire,1,1845,1927
Archduchess_Maria_Theresa_of_Austria_(1862–1933),Archduchess and Princess Maria Theresia of Austria; Princess Maria Theresia of Hungary Bohemia and Tuscany,Silesia,Brandýs nad Labem-Stará Boleslav,1,1862,1933
Archduchess_Marie_Caroline_of_Austria_(1794–1795),,Austria,Austria,,1794,1795
Archduchess_Mathilda_of_Austria,Archduchess of Austria,Schloss Hetzendorf,Vienna,,1849,1867
Archduchess_Mechthildis_of_Austria,Princess Czartoryska,Rio de Janeiro,Pula,,1891,1966
Archduchess_Renata_of_Austria,Princess Radziwill,Balice Lesser Poland Voivodeship,Pula,1,1888,1935
Archduchess_Rosa_of_Austria,Duchess of Württemberg,Friedrichshafen,Parsch,1,1906,1983
"Archduke_Albrecht_Franz,_Duke_of_Teschen",Duke of Teschen,Argentina,Austria,,1897,1955
Archduke_Anton_Victor_of_Austria,,Austrian Empire,Grand Duchy of Tuscany,,1779,1835
Archduke_Anton_of_Austria,Archduke of Austria Prince Imperial of Austria Prince Royal of Hungary and Bohemia Prince of Tuscany,Salzburg,Vienna,1,1901,1987
Archduke_Charles_Joseph_of_Austria_(1745–1761),,Austria,Austria,,1745,1761
Archduke_Charles_Stephen_of_Austria,,Żywiec,Židlochovice,1,1860,1933
Archduke_Ernest_of_Austria_(1824–99),,Kingdom of Italy,Kingdom of Lombardy–Venetia,,1824,1899
Archduke_Felix_of_Austria,,Mexico,Schönbrunn Palace,,1916,2011
Archduke_Ferdinand_Karl_Viktor_of_Austria-Este,"['Archduke of Austria-Este', 'Prince of Modena']",Brno,Modena,1,1821,1849
Archduke_Ferdinand_Karl_of_Austria,,,,,1868,1915
Archduke_Franz_Ferdinand_of_Austria,,Sarajevo,Austrian Empire,1,1863,1914
"Archduke_Franz_Josef_of_Austria,_Prince_of_Tuscany",,Austria,Austria,,1905,1975
Archduke_Franz_Salvator_of_Austria,Archduke and Prince Franz Salvator of Austria; Prince Francis Salvator of Hungary Croatia and Bohemia,Austria,Altmünster,1,1866,1939
Archduke_Gottfried_of_Austria,,Austria,Upper Austria,1,1902,1984
