title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear,birthCountry
"Augustus,_Duke_of_Saxe-Gotha-Altenburg",Duke of Saxe-Gotha-Altenburg,,,,1772,1822,
"Augustus,_Duke_of_Saxe-Lauenburg",,,,,1577,1656,
"Augustus,_Grand_Duke_of_Oldenburg",,,,,1783,1853,
"Augustus_George,_Margrave_of_Baden-Baden",Margrave of Baden-Baden,,,,1706,1771,Germany
"Aveline_de_Forz,_Countess_of_Aumale",,,,,1259,1274,
Avinita,,,,,469,529,
Ayn-al-Hayat_Rifaat,,,,,1858,1910,Egypt
Ayşe_Hafsa_Sultan,,,,,1479,1534,
Ayşe_Hatun_(wife_of_Osman_II),,,,,1607,1640,
Ayşe_Seniyeperver_Sultan,,,,,1761,1828,Bulgaria
Azlan_Shah_of_Perak,Sultan of Perak,,,,1928,2014,
Abd_al-Aziz_ibn_Mutib,Emir of Jabal Shammar,,,,1870,1906,
Abdelaziz_bin_Ahmed_Al_Thani,Minister of Health,,,,1946,2008,Qatar
Abdul_Hamid_II,"['Caliph of Islam', ""Amir al-Mu'minin"", 'Sultan of the Ottoman Empire', 'Custodian of the Two Holy Mosques']",,,,1842,1918,
Abdul_Majeed_bin_Abdulaziz_Al_Saud,,,,,1942,2007,
Abdul_Muhsin_bin_Abdulaziz_Al_Saud,,,,,1925,1985,
Abdul_Qadir_Najmuddin,,,,,1814,1885,
Abdul_Rahman_bin_Saud_Al_Saud,,,,,1946,2004,
Abdullah_Al-Salim_Al-Sabah,,,,,1895,1965,
Abdullah_Badruddin,,,,,1846,1915,
Abdullah_of_Saudi_Arabia,"['Custodian of the Two Holy Mosques', 'King of Saudi Arabia']",,,,1924,2015,Saudi Arabia
Abdülmecid_I,"['Caliph of Islam', ""Amir al-Mu'minin"", 'Sultan of the Ottoman Empire', 'Custodian of the Two Holy Mosques']",,,,1823,1861,
Abiye_Abebe,,,,,1918,1974,
Abraham_Janssen,,,,,1699,1765,
Abu_Bakr_Atiku,Sultan of Sokoto,,,,1782,1842,
Abu_Inan_Faris,"['Sultan of Morocco', 'Amīr al-Muminīn']",,,,1329,1358,
Abu_al-Abbas_Ahmad_II,Caliph of Ifriqiya,,,,1329,1394,
Adelaide-Blanche_of_Anjou,,,,,940,1026,
"Adelaide_I,_Abbess_of_Quedlinburg",,,,,977,1044,
"Adelaide_II,_Abbess_of_Quedlinburg",,,,,1045,1096,
Adelaide_of_Hesse,,,,,1324,1371,
Adelaide_of_Hungary_(d._1140),Duchess consort of Bohemia,,,,1105,1140,
Adelaide_of_Löwenstein-Wertheim-Rosenberg,,,,,1831,1909,
Adelaide_of_Meissen,,,,,1160,1211,Germany
